Main division = 480
Main0:onset=8400,offset=8620notenum=71
Main1:onset=8640,offset=8860notenum=71
Main2:onset=8880,offset=9100notenum=72
Main3:onset=9120,offset=9340notenum=70
Main4:onset=9360,offset=9580notenum=67
Main5:onset=9600,offset=10300notenum=72
Main6:onset=10320,offset=10540notenum=64
Main7:onset=10560,offset=11020notenum=64
Main8:onset=11040,offset=11500notenum=64
Main9:onset=11520,offset=11980notenum=64
Main10:onset=12000,offset=12220notenum=72
Main11:onset=12240,offset=12700notenum=70
Main12:onset=12720,offset=13180notenum=68
Main13:onset=13440,offset=14140notenum=72
Main14:onset=14160,offset=14380notenum=64
Main15:onset=14400,offset=14860notenum=64
Main16:onset=15360,offset=15580notenum=72
Main17:onset=15840,offset=16060notenum=76
Main18:onset=16080,offset=16540notenum=76
Main19:onset=16560,offset=16780notenum=76
Main20:onset=16800,offset=17020notenum=72
Main21:onset=17040,offset=17260notenum=70
Main22:onset=17280,offset=17740notenum=69
Main23:onset=18000,offset=18220notenum=69
Main24:onset=18240,offset=18460notenum=69
Main25:onset=18480,offset=18700notenum=67
Main26:onset=18720,offset=18940notenum=65
Main27:onset=18960,offset=19180notenum=63
Main28:onset=19200,offset=19420notenum=64
Main29:onset=19440,offset=19660notenum=60
Main30:onset=19680,offset=19900notenum=69
Main31:onset=19920,offset=20140notenum=69
Main32:onset=20400,offset=20620notenum=69
Main33:onset=20640,offset=20860notenum=69
Main34:onset=20880,offset=21100notenum=72
Main35:onset=21120,offset=21580notenum=74
Main36:onset=21600,offset=22060notenum=73
Main37:onset=22080,offset=22540notenum=69
Main38:onset=22560,offset=22780notenum=69
Main39:onset=22800,offset=23260notenum=73
Main40:onset=23280,offset=23500notenum=71
Main41:onset=23520,offset=23740notenum=71
Main42:onset=23760,offset=23980notenum=71
Main43:onset=24000,offset=24220notenum=71
Main44:onset=24240,offset=24460notenum=71
Main45:onset=24480,offset=24700notenum=71
Main46:onset=24720,offset=24940notenum=67
Main47:onset=24960,offset=25660notenum=72
Main48:onset=25680,offset=25900notenum=64
Main49:onset=25920,offset=26380notenum=64
Main50:onset=26400,offset=26860notenum=64
Main51:onset=26880,offset=27340notenum=64
Main52:onset=27360,offset=27580notenum=72
Main53:onset=27600,offset=28060notenum=70
Main54:onset=28080,offset=28540notenum=68
Main55:onset=28800,offset=29500notenum=72
Main56:onset=29520,offset=29740notenum=64
Main57:onset=29760,offset=30220notenum=64
Main58:onset=30720,offset=30940notenum=71
Main59:onset=31200,offset=31420notenum=76
Main60:onset=31440,offset=31900notenum=76
Main61:onset=31920,offset=32140notenum=76
Main62:onset=32160,offset=32380notenum=72
Main63:onset=32400,offset=32620notenum=70
Main64:onset=32640,offset=33100notenum=69
Main65:onset=33360,offset=33580notenum=69
Main66:onset=33600,offset=33820notenum=69
Main67:onset=33840,offset=34060notenum=67
Main68:onset=34080,offset=34300notenum=65
Main69:onset=34320,offset=34540notenum=63
Main70:onset=34560,offset=34780notenum=64
Main71:onset=34800,offset=35020notenum=60
Main72:onset=35040,offset=35260notenum=69
Main73:onset=35280,offset=35500notenum=69
Main74:onset=35760,offset=35980notenum=69
Main75:onset=36000,offset=36220notenum=69
Main76:onset=36240,offset=36460notenum=72
Main77:onset=36480,offset=36940notenum=74
Main78:onset=36960,offset=37420notenum=73
Main79:onset=37440,offset=37900notenum=69
Main80:onset=37920,offset=38140notenum=69
Main81:onset=38160,offset=38610notenum=73
Main82:onset=38640,offset=38860notenum=71
Main83:onset=38880,offset=40300notenum=71
Main84:onset=54000,offset=54220notenum=72
Main85:onset=54240,offset=54460notenum=72
Main86:onset=54480,offset=54700notenum=72
Main87:onset=54720,offset=54940notenum=72
Main88:onset=54960,offset=55180notenum=72
Main89:onset=55200,offset=55420notenum=72
Main90:onset=55440,offset=55660notenum=68
Main91:onset=55680,offset=56380notenum=73
Main92:onset=56400,offset=56620notenum=65
Main93:onset=56640,offset=57100notenum=63
Main94:onset=57120,offset=57580notenum=63
Main95:onset=57600,offset=58060notenum=65
Main96:onset=58080,offset=58300notenum=73
Main97:onset=58320,offset=58780notenum=71
Main98:onset=58800,offset=59260notenum=69
Main99:onset=59280,offset=59500notenum=71
Main100:onset=59520,offset=60220notenum=73
Main101:onset=60240,offset=60460notenum=65
Main102:onset=60480,offset=60940notenum=65
Main103:onset=61440,offset=61660notenum=73
Main104:onset=61920,offset=62140notenum=77
Main105:onset=62160,offset=62620notenum=77
Main106:onset=62640,offset=62860notenum=77
Main107:onset=62880,offset=63100notenum=73
Main108:onset=63120,offset=63340notenum=71
Main109:onset=63360,offset=63820notenum=70
Main110:onset=64080,offset=64300notenum=70
Main111:onset=64320,offset=64540notenum=70
Main112:onset=64560,offset=64780notenum=69
Main113:onset=64800,offset=65020notenum=66
Main114:onset=65040,offset=65260notenum=63
Main115:onset=65280,offset=65500notenum=65
Main116:onset=65520,offset=65740notenum=61
Main117:onset=65760,offset=65980notenum=70
Main118:onset=66000,offset=66220notenum=70
Main119:onset=66240,offset=66460notenum=70
Main120:onset=66480,offset=66700notenum=70
Main121:onset=66720,offset=66940notenum=70
Main122:onset=66960,offset=67180notenum=73
Main123:onset=67200,offset=67660notenum=75
Main124:onset=67680,offset=67900notenum=74
Main125:onset=67920,offset=68140notenum=74
Main126:onset=68160,offset=68380notenum=70
Main127:onset=68400,offset=68620notenum=70
Main128:onset=68640,offset=68860notenum=70
