Main division = 480
Main0:onset=10800,offset=11030notenum=66
Main1:onset=11040,offset=11270notenum=71
Main2:onset=11280,offset=11510notenum=71
Main3:onset=11520,offset=11750notenum=74
Main4:onset=11760,offset=11990notenum=74
Main5:onset=12000,offset=12230notenum=74
Main6:onset=12240,offset=12710notenum=71
Main7:onset=12720,offset=12950notenum=66
Main8:onset=12960,offset=13430notenum=71
Main9:onset=13440,offset=14390notenum=71
Main10:onset=14640,offset=14870notenum=66
Main11:onset=14880,offset=15110notenum=71
Main12:onset=15120,offset=15350notenum=71
Main13:onset=15360,offset=15830notenum=73
Main14:onset=15840,offset=16070notenum=73
Main15:onset=16080,offset=16550notenum=73
Main16:onset=16560,offset=16790notenum=66
Main17:onset=16800,offset=17270notenum=69
Main18:onset=17280,offset=18230notenum=73
Main19:onset=18960,offset=19190notenum=66
Main20:onset=19200,offset=19430notenum=78
Main21:onset=19440,offset=19670notenum=78
Main22:onset=19680,offset=19910notenum=78
Main23:onset=19920,offset=20390notenum=78
Main24:onset=20400,offset=20870notenum=80
Main25:onset=20880,offset=21350notenum=73
Main26:onset=21360,offset=21590notenum=73
Main27:onset=21600,offset=22070notenum=73
Main28:onset=22560,offset=22790notenum=66
Main29:onset=22800,offset=23030notenum=71
Main30:onset=23040,offset=23270notenum=74
Main31:onset=23280,offset=23750notenum=74
Main32:onset=23760,offset=24470notenum=78
Main33:onset=24480,offset=24710notenum=74
Main34:onset=24720,offset=24950notenum=78
Main35:onset=24960,offset=25310notenum=76
Main36:onset=25320,offset=25430notenum=76
Main37:onset=25440,offset=25670notenum=73
Main38:onset=25680,offset=25910notenum=73
Main39:onset=25920,offset=26150notenum=73
Main40:onset=26160,offset=26390notenum=66
Main41:onset=26400,offset=26630notenum=71
Main42:onset=26640,offset=26870notenum=71
Main43:onset=26880,offset=27350notenum=74
Main44:onset=27360,offset=27590notenum=74
Main45:onset=27600,offset=28070notenum=71
Main46:onset=28080,offset=28310notenum=66
Main47:onset=28320,offset=28790notenum=71
Main48:onset=28800,offset=29750notenum=71
Main49:onset=30000,offset=30230notenum=66
Main50:onset=30240,offset=30470notenum=71
Main51:onset=30480,offset=30710notenum=71
Main52:onset=30720,offset=31190notenum=73
Main53:onset=31200,offset=31430notenum=73
Main54:onset=31440,offset=31910notenum=73
Main55:onset=31920,offset=32150notenum=66
Main56:onset=32160,offset=32630notenum=69
Main57:onset=32640,offset=33590notenum=73
Main58:onset=34320,offset=34550notenum=66
Main59:onset=34560,offset=34790notenum=78
Main60:onset=34800,offset=35030notenum=78
Main61:onset=35040,offset=35270notenum=78
Main62:onset=35280,offset=35750notenum=78
Main63:onset=35760,offset=36230notenum=80
Main64:onset=36240,offset=36710notenum=74
Main65:onset=36720,offset=36950notenum=73
Main66:onset=36960,offset=37430notenum=73
Main67:onset=37920,offset=38150notenum=66
Main68:onset=38160,offset=38390notenum=71
Main69:onset=38400,offset=38630notenum=74
Main70:onset=38640,offset=38870notenum=78
Main71:onset=38880,offset=39110notenum=71
Main72:onset=39120,offset=39830notenum=74
Main73:onset=40080,offset=40310notenum=74
Main74:onset=40320,offset=40550notenum=74
Main75:onset=40560,offset=40790notenum=76
Main76:onset=40800,offset=41030notenum=79
Main77:onset=41040,offset=41390notenum=84
Main78:onset=41400,offset=41510notenum=83
Main79:onset=41520,offset=41990notenum=79
Main80:onset=42240,offset=42710notenum=78
Main81:onset=42720,offset=42950notenum=78
Main82:onset=42960,offset=43190notenum=78
Main83:onset=43200,offset=43670notenum=78
Main84:onset=43680,offset=43910notenum=74
Main85:onset=43920,offset=44150notenum=78
Main86:onset=44160,offset=44630notenum=78
Main87:onset=44640,offset=44870notenum=74
Main88:onset=44880,offset=45110notenum=78
Main89:onset=45120,offset=45350notenum=78
Main90:onset=45360,offset=45590notenum=74
Main91:onset=45600,offset=45830notenum=71
Main92:onset=45840,offset=46070notenum=71
Main93:onset=46080,offset=47990notenum=73
Main94:onset=49920,offset=50390notenum=78
Main95:onset=50400,offset=50630notenum=78
Main96:onset=50640,offset=50870notenum=78
Main97:onset=50880,offset=51350notenum=78
Main98:onset=51360,offset=51590notenum=74
Main99:onset=51600,offset=51830notenum=79
Main100:onset=51840,offset=52310notenum=78
Main101:onset=52320,offset=52550notenum=74
Main102:onset=52560,offset=52790notenum=79
Main103:onset=52800,offset=53030notenum=81
Main104:onset=53040,offset=53270notenum=78
Main105:onset=53280,offset=53510notenum=81
Main106:onset=53520,offset=54230notenum=81
Main107:onset=54240,offset=54710notenum=81
Main108:onset=54720,offset=54950notenum=78
Main109:onset=54960,offset=55190notenum=73
Main110:onset=55200,offset=55430notenum=69
Main111:onset=55440,offset=56150notenum=73
Main112:onset=56160,offset=56630notenum=78
Main113:onset=57600,offset=58070notenum=78
Main114:onset=58080,offset=58310notenum=78
Main115:onset=58320,offset=58550notenum=78
Main116:onset=58560,offset=59030notenum=78
Main117:onset=59040,offset=59270notenum=74
Main118:onset=59280,offset=59510notenum=78
Main119:onset=59520,offset=59990notenum=78
Main120:onset=60000,offset=60230notenum=74
Main121:onset=60240,offset=60470notenum=78
Main122:onset=60480,offset=60710notenum=78
Main123:onset=60720,offset=60950notenum=74
Main124:onset=60960,offset=61190notenum=71
Main125:onset=61200,offset=61430notenum=71
Main126:onset=61440,offset=63350notenum=73
Main127:onset=64320,offset=64550notenum=69
Main128:onset=64560,offset=64790notenum=71
Main129:onset=64800,offset=65030notenum=74
Main130:onset=65040,offset=65270notenum=74
Main131:onset=65280,offset=65750notenum=78
Main132:onset=65760,offset=65990notenum=71
Main133:onset=66000,offset=66230notenum=71
Main134:onset=66240,offset=66470notenum=71
Main135:onset=66480,offset=66710notenum=67
Main136:onset=66720,offset=66950notenum=70
Main137:onset=66960,offset=68150notenum=72
Main138:onset=68640,offset=68870notenum=70
Main139:onset=68880,offset=69110notenum=72
Main140:onset=69120,offset=69350notenum=72
Main141:onset=69360,offset=69590notenum=72
Main142:onset=69600,offset=69830notenum=70
Main143:onset=69840,offset=70310notenum=76
Main144:onset=70320,offset=70550notenum=72
Main145:onset=70560,offset=71030notenum=72
Main146:onset=71040,offset=71510notenum=77
Main147:onset=71520,offset=71990notenum=74
Main148:onset=72000,offset=72230notenum=81
Main149:onset=72240,offset=72470notenum=79
Main150:onset=72480,offset=72710notenum=78
Main151:onset=72720,offset=73190notenum=74
Main152:onset=73200,offset=75590notenum=76
Main153:onset=75600,offset=75830notenum=74
Main154:onset=75840,offset=76310notenum=78
Main155:onset=76800,offset=77030notenum=73
Main156:onset=77040,offset=77270notenum=73
Main157:onset=77280,offset=77750notenum=73
Main158:onset=77760,offset=78230notenum=80
Main159:onset=78240,offset=78470notenum=80
Main160:onset=78480,offset=78710notenum=80
Main161:onset=78720,offset=79190notenum=81
Main162:onset=79200,offset=79430notenum=80
Main163:onset=79440,offset=79670notenum=76
Main164:onset=79680,offset=80150notenum=80
Main165:onset=80160,offset=80390notenum=76
Main166:onset=80400,offset=80630notenum=75
Main167:onset=80640,offset=81110notenum=73
Main168:onset=81120,offset=81590notenum=85
Main169:onset=81600,offset=82070notenum=83
Main170:onset=82080,offset=82550notenum=78
Main171:onset=82560,offset=83750notenum=81
Main172:onset=84480,offset=84950notenum=78
Main173:onset=84960,offset=85430notenum=78
Main174:onset=85440,offset=85910notenum=76
Main175:onset=85920,offset=86150notenum=78
Main176:onset=86160,offset=86390notenum=81
Main177:onset=86400,offset=86870notenum=80
Main178:onset=86880,offset=87110notenum=76
Main179:onset=87120,offset=87350notenum=74
Main180:onset=87360,offset=87830notenum=71
Main181:onset=87840,offset=88070notenum=73
Main182:onset=88080,offset=88310notenum=76
Main183:onset=88320,offset=88550notenum=76
Main184:onset=88560,offset=88790notenum=76
Main185:onset=88800,offset=89030notenum=76
Main186:onset=89040,offset=89270notenum=76
Main187:onset=89280,offset=89750notenum=76
Main188:onset=89760,offset=89990notenum=80
Main189:onset=90000,offset=90950notenum=76
Main190:onset=90960,offset=91070notenum=76
Main191:onset=91080,offset=91190notenum=76
Main192:onset=91200,offset=91670notenum=74
Main193:onset=92160,offset=92390notenum=73
Main194:onset=92400,offset=92630notenum=73
Main195:onset=92640,offset=92870notenum=73
Main196:onset=92880,offset=93110notenum=73
Main197:onset=93120,offset=93590notenum=80
Main198:onset=93600,offset=93830notenum=80
Main199:onset=93840,offset=94070notenum=80
Main200:onset=94080,offset=94550notenum=80
Main201:onset=94560,offset=94790notenum=80
Main202:onset=94800,offset=95030notenum=76
Main203:onset=95040,offset=95510notenum=80
Main204:onset=95520,offset=95750notenum=76
Main205:onset=95760,offset=95990notenum=75
Main206:onset=96000,offset=96470notenum=73
Main207:onset=96480,offset=96950notenum=85
Main208:onset=96960,offset=97430notenum=83
Main209:onset=97440,offset=97910notenum=80
Main210:onset=97920,offset=99110notenum=80
Main211:onset=99840,offset=100070notenum=78
Main212:onset=100080,offset=100310notenum=78
Main213:onset=100320,offset=100550notenum=78
Main214:onset=100560,offset=101030notenum=78
Main215:onset=101040,offset=101270notenum=78
Main216:onset=101280,offset=101750notenum=81
Main217:onset=101760,offset=102230notenum=80
Main218:onset=102240,offset=102470notenum=76
Main219:onset=102480,offset=102710notenum=74
Main220:onset=102720,offset=103190notenum=71
Main221:onset=103200,offset=103430notenum=73
Main222:onset=103440,offset=103670notenum=76
Main223:onset=103680,offset=104150notenum=72
Main224:onset=104160,offset=104390notenum=74
Main225:onset=104400,offset=104630notenum=76
Main226:onset=104640,offset=105110notenum=72
Main227:onset=105120,offset=105350notenum=74
Main228:onset=105360,offset=105590notenum=76
Main229:onset=105600,offset=106070notenum=78
Main230:onset=106080,offset=106550notenum=76
Main231:onset=106560,offset=106790notenum=74
Main232:onset=106800,offset=107030notenum=72
Main233:onset=107040,offset=107270notenum=69
Main234:onset=107280,offset=107510notenum=72
Main235:onset=107520,offset=109430notenum=73
Main236:onset=129840,offset=130070notenum=66
Main237:onset=130080,offset=130310notenum=71
Main238:onset=130320,offset=130550notenum=71
Main239:onset=130560,offset=131030notenum=74
Main240:onset=131040,offset=131270notenum=74
Main241:onset=131280,offset=131750notenum=71
Main242:onset=131760,offset=131990notenum=66
Main243:onset=132000,offset=132230notenum=71
Main244:onset=132240,offset=132470notenum=71
Main245:onset=132480,offset=133430notenum=71
Main246:onset=133680,offset=133910notenum=66
Main247:onset=133920,offset=134150notenum=71
Main248:onset=134160,offset=134390notenum=71
Main249:onset=134400,offset=134870notenum=73
Main250:onset=134880,offset=135110notenum=73
Main251:onset=135120,offset=135590notenum=73
Main252:onset=135600,offset=135830notenum=68
Main253:onset=135840,offset=136070notenum=69
Main254:onset=136080,offset=136310notenum=69
Main255:onset=136320,offset=137270notenum=73
Main256:onset=138000,offset=138230notenum=66
Main257:onset=138240,offset=138470notenum=78
Main258:onset=138480,offset=138710notenum=78
Main259:onset=138720,offset=138950notenum=78
Main260:onset=138960,offset=139430notenum=78
Main261:onset=139440,offset=139910notenum=78
Main262:onset=139920,offset=140390notenum=74
Main263:onset=140400,offset=140630notenum=73
Main264:onset=140640,offset=141110notenum=73
Main265:onset=141600,offset=141830notenum=66
Main266:onset=141840,offset=142070notenum=69
Main267:onset=142080,offset=142310notenum=74
Main268:onset=142320,offset=142550notenum=78
Main269:onset=142560,offset=142790notenum=71
Main270:onset=142800,offset=143510notenum=74
Main271:onset=143760,offset=143990notenum=74
Main272:onset=144000,offset=144230notenum=74
Main273:onset=144240,offset=144470notenum=76
Main274:onset=144480,offset=144710notenum=79
Main275:onset=144720,offset=145070notenum=84
Main276:onset=145080,offset=145190notenum=83
Main277:onset=145200,offset=145670notenum=79
Main278:onset=145920,offset=146390notenum=78
Main279:onset=146400,offset=146630notenum=78
Main280:onset=146640,offset=146870notenum=78
Main281:onset=146880,offset=147350notenum=78
Main282:onset=147360,offset=147590notenum=74
Main283:onset=147600,offset=147830notenum=78
Main284:onset=147840,offset=148310notenum=78
Main285:onset=148320,offset=148550notenum=74
Main286:onset=148560,offset=148790notenum=78
Main287:onset=148800,offset=149030notenum=78
Main288:onset=149040,offset=149270notenum=74
Main289:onset=149280,offset=149510notenum=71
Main290:onset=149520,offset=149750notenum=71
Main291:onset=149760,offset=151670notenum=73
Main292:onset=153600,offset=154070notenum=76
Main293:onset=154080,offset=154310notenum=76
Main294:onset=154320,offset=154550notenum=76
Main295:onset=154560,offset=155030notenum=78
Main296:onset=155040,offset=155270notenum=74
Main297:onset=155280,offset=155510notenum=79
Main298:onset=155520,offset=155990notenum=78
Main299:onset=156000,offset=156230notenum=74
Main300:onset=156240,offset=156470notenum=78
Main301:onset=156480,offset=156710notenum=80
Main302:onset=156720,offset=156950notenum=78
Main303:onset=156960,offset=157190notenum=80
Main304:onset=157200,offset=157910notenum=83
Main305:onset=157920,offset=158390notenum=82
Main306:onset=158400,offset=158630notenum=78
Main307:onset=158640,offset=158870notenum=73
Main308:onset=158880,offset=159110notenum=69
Main309:onset=159120,offset=159830notenum=71
Main310:onset=159840,offset=160310notenum=78
Main311:onset=161280,offset=161750notenum=78
Main312:onset=161760,offset=161990notenum=78
Main313:onset=162000,offset=162230notenum=78
Main314:onset=162240,offset=162710notenum=78
Main315:onset=162720,offset=162950notenum=74
Main316:onset=162960,offset=163190notenum=78
Main317:onset=163200,offset=163670notenum=78
Main318:onset=163680,offset=163910notenum=74
Main319:onset=163920,offset=164150notenum=78
Main320:onset=164160,offset=164390notenum=78
Main321:onset=164400,offset=164630notenum=74
Main322:onset=164640,offset=164870notenum=71
Main323:onset=164880,offset=165110notenum=71
Main324:onset=165120,offset=166550notenum=73
Main325:onset=168000,offset=168230notenum=69
Main326:onset=168240,offset=168470notenum=71
Main327:onset=168480,offset=168710notenum=74
Main328:onset=168720,offset=168950notenum=76
Main329:onset=168960,offset=169430notenum=78
Main330:onset=169440,offset=169670notenum=71
Main331:onset=169680,offset=169910notenum=71
Main332:onset=169920,offset=170150notenum=71
Main333:onset=170160,offset=170390notenum=67
Main334:onset=170400,offset=170630notenum=71
Main335:onset=170640,offset=171830notenum=71
Main336:onset=172320,offset=172550notenum=69
